CÓDIGO;COMPONENTE CURRICULAR;TURMA;HORARIO 1;HORARIO 2;HORARIO 3;PERÍODO;TIPO;DEPARTAMENTO;LOCAL;VAGAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2213;ECOLOGIA GERAL;LB3;SEG - 14:00 as 16:00;QUI - 13:00 as 15:00;;6;;DB;PRÉDIO DE BIOLOGIA  - SALA 303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6237;ELEMENTOS DE INFORMÁTICA;LB3;QUI - 13:00 as 15:00;;;1;;DEINFO;PRÉDIO DE BIOLOGIA  - SALA 201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2748;EPIDEMIOLOGIA E SAÚDE PÚBLICA;LB3;SEG - 13:00 AS 15:00;QUI - 13:00 AS 15:00;;OPT;OPTATIVA;DB;DEPARTAMENTO DE BIOLOGIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5283;ESTÁGIO SUPERVISIONADO I- LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;LB3;SEX - 13:00 as 17:00;;;5;;DED;PRÉDIO DE BIOLOGIA  - SALA 301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5284;ESTÁGIO SUPERVISIONADO II - LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;LB3;SEX - 13:00 as 17:00;;;6;;DED;PRÉDIO DE BIOLOGIA  - SALA 302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5285;ESTÁGIO SUPERVISIONADO III - LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;LB3;SEG - 13:00 as 17:00;;;7;;DED;PRÉDIO DE BIOLOGIA  - SALA 303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5286;ESTÁGIO SUPERVISIONADO IV - LICENCIATURA EM CIÊNCIAS BIOLÓGICAS;LB3;TER - 13:00 as 17:00;;;8;;DED;PRÉDIO DE BIOLOGIA  - SALA 304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5140;ESTRUTURA E FUNCIONAMENTO DA EDUCAÇÃO BRASILEIRA;LB3;SEG - 13:00 as 15:00;SEX - 13:00 as 15:00;;2;;DED;PRÉDIO DE BIOLOGIA  - SALA 202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7204;FÍSICA E BIOFÍSICA;LB3;TER - 13:00 as 15:00;SEX - 13:00 as 15:00;;1;;DMFA;PRÉDIO DE BIOLOGIA  - SALA 201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7237;FISIOLOGIA HUMANA BÁSICA;LB3;QUI - 13:00 as 15:00;SEX - 13:00 as 15:00;;3;;DMFA;PRÉDIO DE BIOLOGIA  - SALA 203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2106;FISIOLOGIA VEGETAL;LB3;SEG - 16:00 as 18:00;QUA - 16:00 as 18:00;;5;;DB;PRÉDIO DE BIOLOGIA  - SALA 301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2359;FUNDAMENTOS DE BIOTECNOLOGIA;LB3;TER - 16:00 as 18:00;QUI - 13:00 as 15:00;;OPT;OPTATIVA;DB;DEPARTAMENTO DE BIOLOGIA;LB/SB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5139;FUNDAMENTOS FILOSÓFICOS HISTÓRICOS E SOCIOLÓGICOS DA EDUCAÇÃO;LB3;TER - 15:00 as 17:00;QUA - 15:00 as 17:00;;1;;DED;PRÉDIO DE BIOLOGIA  - SALA 201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2315;GENÉTICA DE POPULAÇÕES E EVOLUÇÃO;LB3;TER - 13:00 as 15:00;QUI - 13:00 as 15:00;;7;;DB;PRÉDIO DE BIOLOGIA  - SALA 303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2319;GENÉTICA GERAL;LB3;TER - 15:00 as 17:00;QUI - 15:00 as 17:00;;6;;DB;PRÉDIO DE BIOLOGIA  - SALA 302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1326;GEOLOGIA GERAL;LB3;TER - 15:00 as 17:00;QUI - 15:00 as 17:00;;7;;DEPA;PRÉDIO DE BIOLOGIA  - SALA 303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7318;HISTOLOGIA E EMBRIOLOGIA GERAL;LB3;SEG - 15:00 as 17:00;QUA - 13:00 as 15:00;SEX - 15:00 as 17:00;2;;DMFA;PRÉDIO DE BIOLOGIA  - SALA 202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4341;LÍNGUA BRASILEIRA DE SINAIS - LIBRAS;LB3;QUA - 13:00 as 15:00;SEX - 16:00 as 18:00;;8;;DL;PRÉDIO DE BIOLOGIA  - SALA 304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2257;MEIOFAUNA;LB3;QUA- 15:00 as 17:00;SEX- 13:00 as 15:00;;OPT;OPTATIVA;DB;DEPARTAMENTO DE BIOLOGIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2647;METODOLOGIA CIENTÍFICA PARA CIÊNCIAS BIOLÓGICAS;LB3;QUI - 15:00 as 17:00;;;1;;DB;PRÉDIO DE BIOLOGIA  - SALA 201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2525;MICROBIOLOGIA;LB3;TER - 13:00 as 15:00;SEX - 13:00 as 15:00;;4;;DB;PRÉDIO DE BIOLOGIA  - SALA 204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2154;MORFOLOGIA E SISTEMÁTICA DE FANERÓGAMAS;LB3;SEG - 13:00 as 16:00;QUA - 13:00 as 16:00;;4;;DB;PRÉDIO DE BIOLOGIA  - SALA 204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2248;PALEONTOLOGIA;LB3;QUA - 15:00 as 17:00;SEX - 13:00 as 15:00;;8;;DB;PRÉDIO DE BIOLOGIA  - SALA 304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2322;PRÁTICA DE BIOLOGIA;LB3;QUI - 13:00 as 16:00;;;8;;DB;PRÉDIO DE BIOLOGIA  - SALA 304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2646;PRÁTICA DE BIOLOGIA ANIMAL;LB3;SEG - 16:00 as 18:00;QUA - 13:00 as 15:00;;6;;DB;PRÉDIO DE BIOLOGIA  - SALA 302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2146;PRÁTICA DE BIOLOGIA VEGETAL;LB3;TER - 13:00 as 17:00;;;5;;DB;PRÉDIO DE BIOLOGIA  - SALA 301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2147;PRÁTICA DE CIÊNCIAS;LB3;QUA - 15:00 as 17:00;;;2;;DB;PRÉDIO DE BIOLOGIA  - SALA 202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2267;PRÁTICA DE ECOLOGIA;LB3;SEG - 15:00 as 17:00;QUI - 16:00 as 18:00;;8;;DB;PRÉDIO DE BIOLOGIA  - SALA 304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2314;PRÁTICA DE GENÉTICA;LB3;QUA - 13:00 as 15:00;SEX - 13:00 as 15:00;;7;;DB;PRÉDIO DE BIOLOGIA  - SALA 303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7107;PRÁTICA DE MORFOLOGIA E FISIOLOGIA;LB3;QUA - 13:00 as 17:00;;;3;;DB;PRÉDIO DE BIOLOGIA  - SALA 203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2526;PRÁTICA DE SAÚDE E EPIDEMIOLOGIA ;LB3;TER - 15:00 as 17:00;;;4;;DB;PRÉDIO DE BIOLOGIA  - SALA 204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5317;PSICOLOGIA I;LB3;TER - 15:00 as 17:00;QUI - 15:00 as 17:00;;2;;DED;PRÉDIO DE BIOLOGIA  - SALA 202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5319;PSICOLOGIA II;LB3;SEG - 15:00 as 17:00;SEX - 15:00 as 17:00;;3;;DED;PRÉDIO DE BIOLOGIA  - SALA 203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2158;SISTEMÁTICA DE CRIPTÓGAMAS;LB3;SEG - 13:00 as 15:00;QUI - 15:00 as 17:00;;3;;DB;PRÉDIO DE BIOLOGIA  - SALA 203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2649;ZOOLOGIA DE INVERTEBRADOS I;LB3;SEG - 16:00 as 18:00;QUI - 16:00 as 18:00;;4;;DB;PRÉDIO DE BIOLOGIA  - SALA 204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2650;ZOOLOGIA DE INVERTEBRADOS II;LB3;SEG - 13:00 as 16:00;QUI - 15:00 as 16:00;;5;;DB;PRÉDIO DE BIOLOGIA  - SALA 301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2651;ZOOLOGIA DE VERTEBRADOS;LB3;SEG - 13:00 as 14:00;QUA - 15:00 as 18:00;;6;;DB;PRÉDIO DE BIOLOGIA  - SALA 302;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6418;ÁLGEBRA VETORIAL E LINEAR PARA COMPUTAÇÃO;LC1;TER - 18:30 as 20:10;QUI - 20:10 as 21:50;;3;;DM;CEAGRI II - 2º andar - Sala 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6214;ALGORITMOS E ESTRUTURAS DE DADOS;LC1;SEG - 20:10 as 21:50;QUA - 18:30 as 20:10;;2;;DEINFO;CEAGRI II - 2º andar - Sala 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6258;ASPECTOS FILOSÓFICOS E SOCIOLÓGICOS DA INFORMÁTICA;LC1;SEG - 20:10 as 21:50;SEX - 20:10 as 21:50;;8;;DEINFO;CEAGRI II - 2º andar - Sala 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6215;BANCO DE DADOS I;LC1;SEG - 20:10 as 21:50;SEX - 18:30 as 20:10;;5;;DEINFO;CEAGRI II - 2º andar - Sala 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14092;BANCO DE DADOS NÃO CONVENCIONAIS ;LC1;SEG - 20:10 as 21:50;QUA - 18:30 as 20:10;;8;OPTATIVA;DEINFO;CEAGRI 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6433;CÁLCULO A I;LC1;TER - 18:30 as 20:10;SEX - 20:10 as 21:50;;2;;DM;CEAGRI II - 2º andar - Sala 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6435;CÁLCULO B I;LC1;QUI - 18:30 as 20:10;SEX - 20:10 as 21:50;;3;;DM;CEAGRI II - 2º andar - Sala 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14119;DESENVOLVIMENTO DE APLICAÇÕES MÓVEIS;LC1;SEG - 18:30 as 20:10;QUA - 20:10 as 21:50;;7;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14711;DESENVOLVIMENTO DE APLICAÇÕES PARA TV;LC1;TER - 20:10 as 21:50;QUI - 18:30 as 20:10;;8;OPTATIVA;DEINFO;CEAGRI 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5240;DIDÁTICA A (TURMA TU1);LC1;TER - 20:10 as 21:50;SEX - 18:30 as 20:10;;3;;DED;CEAGRI II - 2º andar - Sala 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6237;ELEMENTOS DE INFORMÁTICA;LC1;SEX - 20:10 as 21:50;;;1;;DEINFO;CEAGRI II - 2º andar - Sala 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6265;ESTÁGIO CURRICULAR I - LICENCIATURA EM COMPUTAÇÃO;LC1;QUA - 18:30 as 21:50;;;5;;DED;CEAGRI II - 2º andar - Sala 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6266;ESTÁGIO CURRICULAR II - LICENCIATURA EM COMPUTAÇÃO;LC1;SEX - 18:30 as 21:50;;;6;;DED;CEAGRI II - 2º andar - Sala 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6267;ESTÁGIO CURRICULAR III - LICENCIATRA EM COMPUTAÇÃO;LC1;QUI - 18:30 as 21:50;;;7;;DED;CEAGRI II - 2º andar - Sala 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6268;ESTÁGIO CURRICULAR IV - LICENCIATURA EM COMPUTAÇÃO;LC1;QUA - 18:30 as 21:50;;;8;;DED;CEAGRI II - 2º andar - Sala 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6269;ESTÁGIO CURRICULAR V - LICENCIATURA EM COMPUTAÇÃO;LC1;SEG - 18:30 as 21:50;;;9;;DED;CEAGRI II - 2º andar - Sala 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6243;ESTATÍSTICA EXPLORATÓRIA I;LC1;TER - 18:30 as 20:10;QUI - 20:10 as 21:50;;4;;DEINFO;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5140;ESTRUTURA E FUNCIONAMENTO DA EDUCAÇÃO BRASILEIRA;LC1;TER - 20:10 as 21:50;QUI - 18:30 as 20:10;;4;;DED;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6309;FISICA PARA COMPUTACAO;LC1;SEG - 18:30 as 20:10;SEX - 18:30 as 20:10;;4;;DF;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5139;FUNDAMENTOS FILOSÓFICOS HISTÓRICOS E SOCIOLÓGICOS DA EDUCAÇÃO;LC1;TER - 18:30 as 20:10;QUI - 20:10 as 21:50;;1;;DED;CEAGRI II - 2º andar - Sala 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6220;INFORMÁTICA NA EDUCAÇÃO;LC1;TER - 20:10 as 21:50;QUI - 18:30 as 20:10;;6;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6246;INFRA-ESTRUTURA DE HARDWARE;LC1;TER - 20:10 as 21:50;QUI - 18:30 as 20:10;;5;;DEINFO;CEAGRI II - 2º andar - Sala 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6259;INFRA-ESTRUTURA DE SOFTWARE;LC1;TER - 18:30 as 20:10;QUI - 20:10 as 21:50;;8;;DEINFO;CEAGRI II - 2º andar - Sala 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6253;INTERFACES HOMEM-MÁQUINA;LC1;TER - 18:30 as 20:10;SEX - 20:10 as 21:50;;7;;DEINFO;CEAGRI II - 2º andar - Sala 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6236;INTRODUCAO A PROGRAMACAO;LC1;SEG - 20:10 as 21:50;QUA - 18:30 as 20:10;SEX - 18:30 as 20:10;1;;DEINFO;CEAGRI II - 2º andar - Sala 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6239;INTRODUÇÃO A TEORIA DA COMPUTAÇÃO;LC1;SEG - 18:30 as 20:10;QUA - 20:10 as 21:50;;2;;DEINFO;CEAGRI II - 2º andar - Sala 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6244;LOGICA E PROGRAMACAO LOGICA;LC1;SEG - 20:10 as 21:50;QUA - 18:30 as 20:10;;4;;DEINFO;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6203;MATEMATICA DISCRETA;LC1;SEG - 18:30 as 20:10;QUA - 20:10 as 21:50;;1;;DEINFO;CEAGRI II - 2º andar - Sala 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6247;MÉTODOS DE EXPRESSÃO TÉCNICA E CIENTÍFICO;LC1;TER - 18:30 as 20:10;QUI - 20:10 as 21:50;;5;;DEINFO;CEAGRI II - 2º andar - Sala 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6252;PARADIGMAS DE PROGRAMAÇÃO;LC1;TER - 20:10 as 21:50;SEX - 18:30 as 20:10;;7;;DEINFO;CEAGRI II - 2º andar - Sala 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6238;PRÁTICA DE ENSINO DE ALGORITMOS;LC1;QUI - 20:10 as 21:50;SEX - 18:30 as 20:10;;2;;DEINFO;CEAGRI II - 2º andar - Sala 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6248;PRÁTICA DE ENSINO DE BANCO DE DADOS;LC1;SEG - 18:30 as 20:10;SEX - 20:10 as 21:50;;5;;DEINFO;CEAGRI II - 2º andar - Sala 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6260;PRÁTICA DE ENSINO DE COMPUTABILIDADE;LC1;SEG - 18:30 as 20:10;SEX - 18:30 as 20:10;;8;;DEINFO;CEAGRI II - 2º andar - Sala 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6254;PRÁTICA DE ENSINO DE INTERFACE HOMEM-MÁQUINA;LC1;SEG - 20:10 as 21:50;QUA - 18:30 as 20:10;;7;;DEINFO;CEAGRI II - 2º andar - Sala 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6245;PRÁTICA DE ENSINO DE LÓGICA;LC1;QUA - 20:10 as 21:50;SEX - 20:10 as 21:50;;4;;DEINFO;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6241;PRÁTICA DE ENSINO DE PROGRAMAÇÃO;LC1;SEG - 20:10 as 21:50;QUA - 18:30 as 20:10;;3;;DEINFO;CEAGRI II - 2º andar - Sala 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6250;PRÁTICA DE ENSINO DE REDES E SISTEMAS INTERNET;LC1;TER - 20:10 as 21:50;QUI - 18:30 as 20:10;;6;;DEINFO;CEAGRI II - 2º andar - Sala 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6240;PROGRAMACAO;LC1;SEG - 18:30 as 20:10;QUA - 20:10 as 21:50;;3;;DEINFO;CEAGRI II - 2º andar - Sala 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6251;PROJETO DE DESENVOLVIMENTO DE SOFTWARE;LC1;TER - 18:30 as 20:10;QUI - 20:10 as 21:50;;6;;DEINFO;CEAGRI II - 2º andar - Sala 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5317;PSICOLOGIA I;LC1;TER - 20:10 as 21:50;QUI - 18:30 as 20:10;;1;LC e LM;DED;CEAGRI II - 2º andar - Sala 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5319;PSICOLOGIA II;LC1;TER - 20:10 as 21:50;QUI - 18:30 as 20:10;;2;LC e LM;DED;CEAGRI II - 2º andar - Sala 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14054;REALIDADE VIRTUAL;LC1;TER - 18:30 as 20:10;QUI - 20:10 as 21:50;;9;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6249;REDES E SISTEMAS INTERNET;LC1;SEG - 20:10 as 21:50;QUA - 18:30 as 20:10;;6;;DEINFO;CEAGRI II - 2º andar - Sala 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14113;TÓPICOS AVANÇADOS EM EAD;LC1;SEG - 18:30 as 20:10;QUA - 20:10 as 21:50;;8;OPTATIVA;DEINFO;CEAGRI 2;LC e BCC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6236;INTRODUCAO A PROGRAMACAO;LC2;SEG - 20:10 as 21:50;QUA - 18:30 as 20:10;SEX - 18:30 as 20:10;1;EXTRA;DEINFO;CEAGRI 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6203;MATEMATICA DISCRETA;LC2;SEG - 18:30 as 20:10;QUA - 20:10 as 21:50;;1;EXTRA;DEINFO;CEAGRI 2- SALA 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7136;ANATOMIA HUMANA;LE1;SEG- 07:00 as 10:00;QUA - 09:00 as 12:00;;1;;DMFA;MANOEL AMARO - 1º andar - Sala 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15302;AVALIAÇÃO EM EDUCAÇÃO FÍSICA;LE1;SEG- 09:00 as 12:00;;;4;;EDFIS;MANOEL AMARO - 1º andar - Sala 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7206;BIOFÍSICA;LE1;TER - 07:00 as 09:00;QUI - 07:00 as 09:00;;3;;DMFA;MANOEL AMARO - 1º andar - Sala 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7216;BIOQUÍMICA;LE1;TER - 07:00 as 09:00;QUI - 10:00 as 12:00;;2;;DMFA;MANOEL AMARO - 1º andar - Sala 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5355;DESENVOLVIMENTO E APRENDIZAGEM MOTORA;LE1;TER - 09:00 as 12:00;;;4;;DED;MANOEL AMARO - 1º andar - Sala 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5268;DIDÁTICA;LE1;SEG - 11:00 as 12:00;TER - 09:00 as 12:00;;3;;DED;MANOEL AMARO - 1º andar - Sala 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5145;EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS;LE1;QUA - 10:00 as 12:00;SEX - 07:00 as 09:00;;OPT;OPTATIVA;DED;MANOEL AMARO - 1º andar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5356;EDUCAÇÃO E SAÚDE;LE1;QUA - 07:00 as 10:00;;;3;;DED;MANOEL AMARO - 1º andar - Sala 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4208;EDUCAÇÃO FÍSICA A;LE1;SEX - 07:00 as 09:00;;;2;;EDFIS;MANOEL AMARO - 1º andar - Sala 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5127;EDUCAÇÃO FÍSICA E EPISTEMOLOGIA;LE1;TER - 09:00 as 12:00;;;2;;DED;MANOEL AMARO - 1º andar - Sala 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5126;EDUCAÇÃO FÍSICA E POLÍTICAS PÚBLICAS;LE1;QUI - 09:00 as 12:00;;;3;;DED;MANOEL AMARO - 1º andar - Sala 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15301;EDUCAÇÃO FÍSICA INCLUSIVA;LE1;TER - 09:00 as 12:00;;;5;;EDFIS;MANOEL AMARO - 1º andar - Sala 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5290;ESTÁGIO SUPERVISIONADO I - LICENCIATURA EM EDUCAÇÃO FÍSICA;LE1;SEG - 07:00 as 11:00;SEX - 07:00 as 09:00;;5;;DED;MANOEL AMARO - 1º andar - Sala 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5291;ESTÁGIO SUPERVISIONADO II - LICENCIATURA EM EDUCAÇÃO FÍSICA;LE1;QUA - 07:00 as 09:00;QUI - 07:00 as 12:00;;6;;DED;MANOEL AMARO - 1º andar - Sala 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5292;ESTÁGIO SUPERVISIONADO III;LE1;QUA - 07:00 as 09:00;QUI- 07:00 as 12:00;;7;;DED;MANOEL AMARO - 1º andar - Sala 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15527;ESTÁGIO SUPERVISIONADO IV;LE1;TER - 07:00 as 11:00;SEX - 07:00 as 12:00;;8;;DED;MANOEL AMARO - 1º andar - Sala 09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5140;ESTRUTURA E FUNCIONAMENTO DA EDUCAÇÃO BRASILEIRA;LE1;SEG - 07:00 as 09:00;SEX - 10:00 as 12:00;;2;;DED;MANOEL AMARO - 1º andar - Sala 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7238;FISIOLOGIA APLICADA À EDUCAÇÃO FÍSICA;LE1;QUA - 09:00 as 12:00;SEX - 09:00 as 12:00;;4;;DMFA;MANOEL AMARO - 1º andar - Sala 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5139;FUNDAMENTOS FILOSÓFICOS HISTÓRICOS E SOCIOLÓGICOS DA EDUCAÇÃO;LE1;SEG - 10:00 as 12:00;QUA - 07:00 as 090:00;;1;;DED;MANOEL AMARO - 1º andar - Sala 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
