CÓDIGO;COMPONENTE CURRICULAR;TURMA;HORARIO 1;HORARIO 2;HORARIO 3;PERÍODO;TIPO;DEPARTAMENTO;LOCAL;VAGAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4180;EMPREENDEDORISMO;AD3;TER - 10:00 as 12:00;QUI - 08:00 as 10:00;;8;;DADM;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4221;ESTÁGIO SUPERVISIONADO- ADMINISTRAÇÃO;AD3;QUA - 10:00 as 12:00;;;8;;DADM;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6275;ESTATÍSTICA BÁSICA;AD3;TER - 10:00 as 12:00;SEX - 08:00 as 10:00;;2;;DEINFO;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4590;ÉTICA PROFISSIONAL A;AD3;SEG - 10:00 as 12:00;QUA - 08:00 as 10:10;;8;;DECISO;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4216;GESTÃO AMBIENTAL E RESPONS. SOCIAL;AD3;TER - 10:00 as 12:00;QUI - 08:00 as 10:00;;6;;DADM;DADM - Bloco C - Sala 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4217;GESTÃO DA CADEIA DE SUPRIMENTOS;AD3;TER - 08:00 as 10:00;SEX - 10:00 as 12:00;;8;;DADM;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4220;GESTÃO DE EMPRESAS DO TERCEIRO SETOR;AD3;SEG - 08:00 as 10:00;QUI - 10:00 as 12:00;;8;;DADM;DADM - Bloco C - Sala 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4207;GESTÃO DE PESSOAS I;AD3;TER - 08:00 as 10:00;SEX - 10:00 as 12:00;;4;;DADM;DADM- Bloco C - Sala 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4231;GESTÃO DO CONHECIMENTO;AD3;SEG - 10:00 as 12:00;QUA - 08:00 as 10:00;;6;OPTATIVA;DADM;DEPARTAMENTO DE ADMINISTRAÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4508;INTRODUÇÃO À FILOSOFIA;AD3;SEG - 10:00 as 12:00;QUI - 08:00 as 10:00;;2;;DECISO;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4222;INTRODUÇÃO AOS SISTEMAS DE INFORMAÇÃO;AD3;TER - 10:00 as 12:00;QUI - 08:00 as 10:00;;4;;DADM;DADM- Bloco C - Sala 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4218;MARKETING II;AD3;TER - 08:00 as 10:00;SEX - 10:00 as 12:00;;6;;DADM;DADM - Bloco C - Sala 3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4122;MATEMÁTICA FINANCEIRA;AD3;SEG - 08:00 as 10:00;QUA - 10:00 as 12:00;;2;;DL;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4440;ORGANIZAÇÃO DO TRABALHO CIENTÍFICO;AD3;QUA - 08:00 as 10:00;SEX - 10:00 as 12:00;;2;;DECISO;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4223;ORGANIZAÇÃO SISTEMAS E MÉTODOS;AD3;SEG - 10:00 as 12:00;QUA - 08:00 as 10:00;;4;OPTATIVA;DADM;DEPARTAMENTO DE ADMINISTRAÇÃO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4166;TEORIA GERAL DA ADMINISTRAÇÃO;AD3;TER - 08:00 as 12:00;QUI - 10:00 as 12:00;;2;;DADM;DADM - Bloco C - Sala 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6418;ÁLGEBRA VETORIAL E LINEAR PARA COMPUTAÇÃO;BC3;TER - 16:00 as 18:00;QUI - 14:00 as 16:00;;1;;DM;CEAGRI II - 2º andar - Sala 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6214;ALGORITMOS E ESTRUTURAS DE DADOS;BC3;TER - 14:00 as 16:00;QUI - 16:00 as 18:00;;2;;DEINFO;CEAGRI II - 2º andar - Sala 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14099;ANÁLISE DE DESEMPENHO ;BC3;SEG - 14:00 as 16:00;SEX - 16:00 as 18:00;;9;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14108;ANÁLISE E PROJETOS DE SISTEMAS ORIENTADOS A OBJETOS;BC3;SEG - 16:00 as 18:00;QUA - 14:00 as 16:00;;7;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14719;APRENDIZAGEM DE MÁQUINA;BC3;SEG - 16:00 as 18:00;QUA - 14:00 as 16:00;;9;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14064;ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES;BC3;TER - 16:00 as 18:00;QUI - 14:00 as 16:00;;4;;DEINFO;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14066;ARQUITETURAS AVANÇADAS DE COMPUTADORES;BC3;TER - 14:00 as 16:00;QUI - 16:00 as 18:00;;8;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14710;ARQUITETURAS NÃO CONVENCIONAIS;BC3;TER - 16:00 as 18:00;QUI - 14:00 as 16:00;;8;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14088;BANCO DE DADOS S;BC3;SEG - 14:00 as 16:00;SEX - 16:00 as 18:00;;4;;DEINFO;CEAGRI II - 2º andar - Sala 23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6446;CÁLCULO DIFERENCIAL E INTEGRAL I L;BC3;SEG - 16:00 as 18:00;QUA - 14:00 as 16:00;;1;;DM;CEAGRI II - 2º andar - Sala 20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6445;CÁLCULO DIFERENCIAL E INTEGRAL II L;BC3;SEG - 16:00 as 18:00;QUA - 14:00 as 16:00;;2;;DM;CEAGRI II - 2º andar - Sala 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14063;CIRCUITOS DIGITAIS;BC3;TER - 16:00 as 18:00;QUI - 14:00 as 16:00;;3;;DEINFO;CEAGRI II - 2º andar - Sala 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14090;COMPILADORES;BC3;SEG - 14:00 as 16:00;SEX - 16:00 as 18:00;;5;;DEINFO;CEAGRI II - 2º andar - Sala 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14124;COMPUTAÇÃO EM NUVEM;BC3;TER - 14:00 as 16:00;QUI - 16:00 as 18:00;;9;OPTATIVA;DEINFO;CEAGRI II - 2º andar - Sala 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14703;COMPUTAÇÃO QUÂNTICA;BC3;TER - 08:00 as 12:00;;;7;OPTATIVA;DEINFO;SALA DO DEINFO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
